[95mAlphaBeta[0m
         1457038397 function calls (-531564769 primitive calls) in 5076.367 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
        1    0.000    0.000 5076.367 5076.367 <string>:1(<module>)
        8    0.000    0.000    0.000    0.000 <string>:12(__new__)
        4    0.000    0.000    0.000    0.000 __init__.py:1257(debug)
        4    0.000    0.000    0.000    0.000 __init__.py:1269(info)
        8    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
        8    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
        4    0.000    0.000    0.001    0.000 __init__.py:271(loads)
        4    0.000    0.000    0.000    0.000 _collections.py:141(__init__)
       41    0.000    0.000    0.000    0.000 _collections.py:154(__getitem__)
       28    0.000    0.000    0.000    0.000 _collections.py:207(add)
        4    0.000    0.000    0.000    0.000 _collections.py:230(extend)
       12    0.000    0.000    0.000    0.000 _collections.py:42(__init__)
        8    0.000    0.000    0.000    0.000 _collections.py:49(__getitem__)
        4    0.000    0.000    0.000    0.000 _collections.py:56(__setitem__)
        8    0.000    0.000    0.001    0.000 _collections.py:85(clear)
       37    0.000    0.000    0.000    0.000 _collections_abc.py:592(get)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:599(__contains__)
       20    0.000    0.000    0.000    0.000 _collections_abc.py:611(items)
       20    0.000    0.000    0.000    0.000 _collections_abc.py:631(__init__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:634(__len__)
      428    0.001    0.000    0.002    0.000 _collections_abc.py:675(__iter__)
       32    0.000    0.000    0.001    0.000 _collections_abc.py:756(update)
       56    0.000    0.000    0.000    0.000 _policybase.py:277(_sanitize_header)
       28    0.000    0.000    0.000    0.000 _policybase.py:289(header_source_parse)
       56    0.000    0.000    0.000    0.000 _policybase.py:307(header_fetch_parse)
      116    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       92    0.000    0.000    0.000    0.000 abc.py:178(__instancecheck__)
        8    0.000    0.000    0.000    0.000 adapters.py:116(init_poolmanager)
