Jaegersborggade, 9x7, amateur, d = 4

[95mAlphaBeta[0m
         2488808989 function calls (1150783720 primitive calls) in 3296.220 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
        1    0.000    0.000 3296.220 3296.220 <string>:1(<module>)
       78    0.000    0.000    0.000    0.000 <string>:12(__new__)
       39    0.000    0.000    0.000    0.000 __init__.py:1257(debug)
       39    0.000    0.000    0.000    0.000 __init__.py:1269(info)
       78    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
       78    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
       39    0.000    0.000    0.003    0.000 __init__.py:271(loads)
       39    0.000    0.000    0.002    0.000 _collections.py:141(__init__)
      391    0.001    0.000    0.001    0.000 _collections.py:154(__getitem__)
      273    0.000    0.000    0.001    0.000 _collections.py:207(add)
       39    0.000    0.000    0.002    0.000 _collections.py:230(extend)
      117    0.000    0.000    0.001    0.000 _collections.py:42(__init__)
       78    0.000    0.000    0.000    0.000 _collections.py:49(__getitem__)
       39    0.000    0.000    0.000    0.000 _collections.py:56(__setitem__)
       78    0.001    0.000    0.012    0.000 _collections.py:85(clear)
      352    0.001    0.000    0.002    0.000 _collections_abc.py:592(get)
      234    0.001    0.000    0.002    0.000 _collections_abc.py:599(__contains__)
      195    0.000    0.000    0.000    0.000 _collections_abc.py:611(items)
      195    0.000    0.000    0.000    0.000 _collections_abc.py:631(__init__)
       39    0.000    0.000    0.000    0.000 _collections_abc.py:634(__len__)
     4173    0.005    0.000    0.018    0.000 _collections_abc.py:675(__iter__)
      312    0.003    0.000    0.008    0.000 _collections_abc.py:756(update)
      546    0.001    0.000    0.002    0.000 _policybase.py:277(_sanitize_header)
      273    0.001    0.000    0.002    0.000 _policybase.py:289(header_source_parse)
      546    0.000    0.000    0.002    0.000 _policybase.py:307(header_fetch_parse)
     1131    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
      897    0.002    0.000    0.003    0.000 abc.py:178(__instancecheck__)
       78    0.000    0.000    0.001    0.000 adapters.py:116(init_poolmanager)
       39    0.000    0.000    0.000    0.000 adapters.py:159(cert_verify)
       39    0.001    0.000    0.010    0.000 adapters.py:196(build_response)
       39    0.000    0.000    0.010    0.000 adapters.py:232(get_connection)
       78    0.000    0.000    0.013    0.000 adapters.py:255(close)
       39    0.000    0.000    0.001    0.000 adapters.py:263(request_url)
       39    0.000    0.000    0.000    0.000 adapters.py:287(add_headers)
       39    0.001    0.000    9.669    0.248 adapters.py:323(send)
       78    0.000    0.000    0.000    0.000 adapters.py:43(__init__)
       78    0.001    0.000    0.002    0.000 adapters.py:82(__init__)
       39    0.001    0.000    9.760    0.250 api.py:17(request)
       39    0.001    0.000    9.761    0.250 api.py:58(get)
      117    0.000    0.000    0.001    0.000 cgi.py:301(_parseparam)
       39    0.000    0.000    0.001    0.000 cgi.py:313(parse_header)
       32    0.000    0.000 3285.857  102.683 classes.py:10(argmin)
   979093    3.554    0.000    3.554    0.000 classes.py:122(__init__)
 23837234   38.136    0.000   38.136    0.000 classes.py:134(str_loc)
 12818905   35.229    0.000   35.229    0.000 classes.py:138(move_info)
       66    0.000    0.000    0.000    0.000 classes.py:166(get_current_vertex)
   969744    0.273    0.000    0.273    0.000 classes.py:172(get_agents_turn)
       33    0.000    0.000    0.000    0.000 classes.py:175(get_plays_made)
 10039169    9.588    0.000    9.588    0.000 classes.py:178(is_playable)
   232437    0.252    0.000    0.252    0.000 classes.py:183(is_in_goal)
  1180461   12.609    0.000   95.509    0.000 classes.py:188(legal_moves)
 10039169   21.270    0.000   86.715    0.000 classes.py:195(can_move)
   969925    4.409    0.000   91.386    0.000 classes.py:199(can_bounce)
   232437    0.892    0.000    5.988    0.000 classes.py:205(is_trapped)
   232437    1.094    0.000    8.297    0.000 classes.py:213(terminal_test)
  1162185    0.500    0.000    0.500    0.000 classes.py:215(<genexpr>)
   979160    6.352    0.000   16.284    0.000 classes.py:221(move)
       32    0.000    0.000 3285.857  102.683 classes.py:24(argmax)
